,Material,Dry_or_cond,Manufacturer,Polymer,Fiber_percentage,Fiber_type,Charpy_notched_+23C,Charpy_notched_-30C,Charpy_+23C,Tensile_modulus,Molding_shrinkage_normal,Molding_shrinkage_parallel,Coeff_linear_therm_expansion_normal,Coeff_linear_therm_expansion_parallel,Melting_temp,Temp_deflection_0.45MPa,Temp_deflection_1.80MPa,Vicat_softening_temp,Density,Humidity_absorption,Temperature,G_prima,G_2prima,MPa,CM_1.0,CM_10.0,CM_100.0,CM_1000.0,CM_10000.0,CM_100000.0
32,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,30,6893.008755407452,6445.529654048699,5977.52290431797,5496.040843943672,,
33,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,40,5267.321726486576,4780.647763274023,4301.335514860758,3837.163704496641,,
34,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,50,3978.304674779025,3528.517300231461,3105.11445321336,2712.419726050116,,
35,RADILON S URV600W 339 BK,,,,,,,,,,,,,,,,,,1690,,120,,,60,3024.404190405142,2638.015809447967,2285.813667400371,1968.690042756112,,
36,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,20,6818.141637839896,6657.913687017004,6464.859523315856,6235.037383298181,,
37,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,40,5756.518516273956,5417.496278724158,5040.295888837452,4630.460474742102,,
38,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,50,5230.258817877122,4835.352316229773,4412.042258117589,3970.21154411763,,
39,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,60,4739.23536008471,4310.41804783733,3865.924719505889,3417.886300330116,,
40,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,80,3890.70506569574,3442.289280301636,3002.554071749812,2583.089637744626,,
41,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,23,,,90,3533.479241365963,3090.796510166552,2666.322980224903,2270.024400617797,,
42,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,10,6136.514357613795,6010.237194215847,5855.763172639879,5668.912155773283,,
43,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,20,5654.846447667793,5429.27569645911,5165.14818410622,4861.826736388605,,
44,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,30,5222.592930105092,4927.081293356094,4593.858349629211,4227.224639884173,,
45,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,40,4839.672076211427,4496.568058582226,4121.955721463897,3724.076387423618,,
46,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,50,4501.077508292912,4126.626912241877,3728.947432547097,3318.790790326878,,
47,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,80,,,60,4201.088260734746,3806.951901035555,3398.248110557418,2987.004594648279,,
48,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,10,4697.2456611061,4537.298091118379,4341.961391142013,4108.205811296972,,
49,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,20,4068.514701838237,3789.518165976175,3474.710656190455,3130.946923810136,,
50,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,30,3525.569457169485,3185.489144381189,2825.410556812075,2458.165803740669,,
51,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,40,3075.805048091547,2711.851834206339,2345.217307770358,1989.687835850997,,
52,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,50,2706.245877245957,2339.499815073599,1984.233173806244,1652.559004759537,,
53,RADILON S RV350W 333 BK,,,,,,,,,,,,,,,,,,1400,,120,,,60,2401.599736785706,2043.297032277912,1706.855416369616,1401.794934383491,,
